reg_no | sem | branch_code | subject_code | subject_name | subject_type | credit | old_shown_grade | new_shown_grade | should_be_grade | shown_gp | corrected_gp | delta_points | new_ese | new_ia | new_total | old_result_url | new_result_url
21101111057 | IV | 101 | 100408P | MOOCs / SWAYAM / NPTEL Courses - 1 | practical | PRACTICAL_100_SPECIAL | 2.00 | F | D | C | 6 | 7 | 2.00 | 42^ | 21 | 63 | https://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=21101111057 | https://beu-bih.ac.in/result-three?name=B.Tech.+4th+Semester+Examination%2C+2025&semester=IV&session=2021-25&regNo=21101111057&exam_held=December%2F2025
21101111057 | IV | 101 | 101404 | Introduction to Fluid Mechanics | theory | THEORY_100 | 3.00 | F | P | D | 5 | 6 | 3.00 | 40^ | 13 | 53 | https://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=21101111057 | https://beu-bih.ac.in/result-three?name=B.Tech.+4th+Semester+Examination%2C+2025&semester=IV&session=2021-25&regNo=21101111057&exam_held=December%2F2025
21101113014 | IV | 101 | 101408 | Structural Analysis | theory | THEORY_100 | 4.00 | F | D | C | 6 | 7 | 4.00 | 52^ | 9 | 61 | https://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=21101113014 | https://beu-bih.ac.in/result-three?name=B.Tech.+4th+Semester+Examination%2C+2025&semester=IV&session=2021-25&regNo=21101113014&exam_held=December%2F2025
21101113046 | IV | 101 | 101408 | Structural Analysis | theory | THEORY_100 | 4.00 | F | P | D | 5 | 6 | 4.00 | 47^ | 9 | 56 | https://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=21101113046 | https://beu-bih.ac.in/result-three?name=B.Tech.+4th+Semester+Examination%2C+2025&semester=IV&session=2021-25&regNo=21101113046&exam_held=December%2F2025
21101115005 | IV | 101 | 101404 | Introduction to Fluid Mechanics | theory | THEORY_100 | 3.00 | F | P | D | 5 | 6 | 3.00 | 33^ | 26 | 59 | https://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=21101115005 | https://beu-bih.ac.in/result-three?name=B.Tech.+4th+Semester+Examination%2C+2025&semester=IV&session=2021-25&regNo=21101115005&exam_held=December%2F2025
21101117010 | IV | 101 | 101403 | Engineering Geology | theory | THEORY_100 | 2.00 | F | D | C | 6 | 7 | 2.00 | 42^ | 22 | 64 | https://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=21101117010 | https://beu-bih.ac.in/result-three?name=B.Tech.+4th+Semester+Examination%2C+2025&semester=IV&session=2021-25&regNo=21101117010&exam_held=December%2F2025
21101117018 | IV | 101 | 101407 | Mechanical Engineering | theory | THEORY_100 | 3.00 | F | D | C | 6 | 7 | 3.00 | 48^ | 15 | 63 | https://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=21101117018 | https://beu-bih.ac.in/result-three?name=B.Tech.+4th+Semester+Examination%2C+2025&semester=IV&session=2021-25&regNo=21101117018&exam_held=December%2F2025
21101117027 | IV | 101 | 101403 | Engineering Geology | theory | THEORY_100 | 2.00 | F | P | D | 5 | 6 | 2.00 | 38^ | 12 | 50 | https://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=21101117027 | https://beu-bih.ac.in/result-three?name=B.Tech.+4th+Semester+Examination%2C+2025&semester=IV&session=2021-25&regNo=21101117027&exam_held=December%2F2025
21101117030 | IV | 101 | 101407 | Mechanical Engineering | theory | THEORY_100 | 3.00 | F | P | D | 5 | 6 | 3.00 | 41^ | 11 | 52 | https://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=21101117030 | https://beu-bih.ac.in/result-three?name=B.Tech.+4th+Semester+Examination%2C+2025&semester=IV&session=2021-25&regNo=21101117030&exam_held=December%2F2025
21101118001 | IV | 101 | 101405 | Introduction to Solid Mechanics | theory | THEORY_100 | 3.00 | F | D | C | 6 | 7 | 3.00 | 35^ | 27 | 62 | https://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=21101118001 | https://beu-bih.ac.in/result-three?name=B.Tech.+4th+Semester+Examination%2C+2025&semester=IV&session=2021-25&regNo=21101118001&exam_held=December%2F2025
21101119001 | IV | 101 | 100408P | MOOCs / SWAYAM / NPTEL Courses - 1 | practical | PRACTICAL_100_SPECIAL | 2.00 | F | D | C | 6 | 7 | 2.00 | 47^ | 21 | 68 | https://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=21101119001 | https://beu-bih.ac.in/result-three?name=B.Tech.+4th+Semester+Examination%2C+2025&semester=IV&session=2021-25&regNo=21101119001&exam_held=December%2F2025
21101119001 | IV | 101 | 101405 | Introduction to Solid Mechanics | theory | THEORY_100 | 3.00 | F | P | D | 5 | 6 | 3.00 | 30^ | 26 | 56 | https://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=21101119001 | https://beu-bih.ac.in/result-three?name=B.Tech.+4th+Semester+Examination%2C+2025&semester=IV&session=2021-25&regNo=21101119001&exam_held=December%2F2025
21101123002 | IV | 101 | 101407 | Mechanical Engineering | theory | THEORY_100 | 3.00 | F | P | D | 5 | 6 | 3.00 | 31^ | 28 | 59 | https://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=21101123002 | https://beu-bih.ac.in/result-three?name=B.Tech.+4th+Semester+Examination%2C+2025&semester=IV&session=2021-25&regNo=21101123002&exam_held=December%2F2025
21101124036 | IV | 101 | 101405 | Introduction to Solid Mechanics | theory | THEORY_100 | 3.00 | F | P | D | 5 | 6 | 3.00 | 35^ | 15 | 50 | https://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=21101124036 | https://beu-bih.ac.in/result-three?name=B.Tech.+4th+Semester+Examination%2C+2025&semester=IV&session=2021-25&regNo=21101124036&exam_held=December%2F2025
21101124038 | IV | 101 | 101405 | Introduction to Solid Mechanics | theory | THEORY_100 | 3.00 | F | P | D | 5 | 6 | 3.00 | 38^ | 18 | 56 | https://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=21101124038 | https://beu-bih.ac.in/result-three?name=B.Tech.+4th+Semester+Examination%2C+2025&semester=IV&session=2021-25&regNo=21101124038&exam_held=December%2F2025
21101124051 | IV | 101 | 101408 | Structural Analysis | theory | THEORY_100 | 4.00 | F | P | D | 5 | 6 | 4.00 | 40^ | 11 | 51 | https://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=21101124051 | https://beu-bih.ac.in/result-three?name=B.Tech.+4th+Semester+Examination%2C+2025&semester=IV&session=2021-25&regNo=21101124051&exam_held=December%2F2025
21101125030 | IV | 101 | 101404 | Introduction to Fluid Mechanics | theory | THEORY_100 | 3.00 | F | P | D | 5 | 6 | 3.00 | 25^ | 25 | 50 | https://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=21101125030 | https://beu-bih.ac.in/result-three?name=B.Tech.+4th+Semester+Examination%2C+2025&semester=IV&session=2021-25&regNo=21101125030&exam_held=December%2F2025
21101125052 | IV | 101 | 101408 | Structural Analysis | theory | THEORY_100 | 4.00 | F | P | D | 5 | 6 | 4.00 | 37^ | 20 | 57 | https://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=21101125052 | https://beu-bih.ac.in/result-three?name=B.Tech.+4th+Semester+Examination%2C+2025&semester=IV&session=2021-25&regNo=21101125052&exam_held=December%2F2025
21101126020 | IV | 101 | 101408 | Structural Analysis | theory | THEORY_100 | 4.00 | F | P | D | 5 | 6 | 4.00 | 38^ | 19 | 57 | https://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=21101126020 | https://beu-bih.ac.in/result-three?name=B.Tech.+4th+Semester+Examination%2C+2025&semester=IV&session=2021-25&regNo=21101126020&exam_held=December%2F2025
21101126050 | IV | 101 | 101405 | Introduction to Solid Mechanics | theory | THEORY_100 | 3.00 | F | P | D | 5 | 6 | 3.00 | 40^ | 14 | 54 | https://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=21101126050 | https://beu-bih.ac.in/result-three?name=B.Tech.+4th+Semester+Examination%2C+2025&semester=IV&session=2021-25&regNo=21101126050&exam_held=December%2F2025
21101127008 | IV | 101 | 101403 | Engineering Geology | theory | THEORY_100 | 2.00 | F | P | D | 5 | 6 | 2.00 | 34^ | 25 | 59 | https://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=21101127008 | https://beu-bih.ac.in/result-three?name=B.Tech.+4th+Semester+Examination%2C+2025&semester=IV&session=2021-25&regNo=21101127008&exam_held=December%2F2025
